"subject_id","itemA","itemB","domain_itemA","domain_itemB","trial_type_order","freesort_distance","causal_distance"
"subj_01","see something","become hungry","mind","bio","causation_second",0.24,0.73
"subj_01","choose what to do","become hungry","mind","bio","causation_second",0.33,0.32
"subj_01","sit down","become hungry","action","bio","causation_second",0.77,0.9
"subj_01","take a walk","become hungry","action","bio","causation_second",0.6,0.23
"subj_01","feel scared","become hungry","bio","bio","causation_second",0.65,0.88
"subj_01","experience pain","become hungry","bio","bio","causation_second",0.82,0.86
"subj_01","think about something","become hungry","mind","bio","causation_second",0.19,0.36
"subj_01","get tired","become hungry","bio","bio","causation_second",0.17,0.33
"subj_01","jump up and down","become hungry","action","bio","causation_second",0.61,0.18
"subj_01","get sick","become hungry","bio","bio","causation_second",0.93,0.35
"subj_01","reach for something","become hungry","action","bio","causation_second",0.7,0.74
"subj_01","kick something","become hungry","action","bio","causation_second",0.59,0.97
"subj_01","remember something","become hungry","mind","bio","causation_second",0.3,0.3
"subj_01","hear something","become hungry","mind","bio","causation_second",0.34,0.83
"subj_01","become hungry","see something","bio","mind","causation_second",0.24,0.69
"subj_01","choose what to do","see something","mind","mind","causation_second",0.28,0.62
"subj_01","sit down","see something","action","mind","causation_second",0.41,0.34
"subj_01","take a walk","see something","action","mind","causation_second",0.7,0.67
"subj_01","feel scared","see something","bio","mind","causation_second",0.61,0.72
"subj_01","experience pain","see something","bio","mind","causation_second",0.74,0.73
"subj_01","think about something","see something","mind","mind","causation_second",0.46,0.76
"subj_01","get tired","see something","bio","mind","causation_second",0.16,0.77
"subj_01","jump up and down","see something","action","mind","causation_second",0.23,0.7
"subj_01","get sick","see something","bio","mind","causation_second",0.64,0.64
"subj_01","reach for something","see something","action","mind","causation_second",0.51,0.68
"subj_01","kick something","see something","action","mind","causation_second",0.3,0.76
"subj_01","remember something","see something","mind","mind","causation_second",0.48,0.41
"subj_01","hear something","see something","mind","mind","causation_second",0,0.63
"subj_01","become hungry","choose what to do","bio","mind","causation_second",0.33,0.35
"subj_01","see something","choose what to do","mind","mind","causation_second",0.28,0.76
"subj_01","sit down","choose what to do","action","mind","causation_second",0.5,0.65
"subj_01","take a walk","choose what to do","action","mind","causation_second",0.28,0.74
"subj_01","feel scared","choose what to do","bio","mind","causation_second",0.2,0.18
