"subject_id","trial_type","original_trial_index","x","y","item"
"subj_08","free_sort",21,254,39,"take a walk"
"subj_08","free_sort",21,515,278,"jump up and down"
"subj_09","free_sort",5,362,455,"get tired"
"subj_09","free_sort",5,101,152,"become hungry"
"subj_09","free_sort",5,149,149,"choose what to do"
"subj_09","free_sort",5,311,425,"sit down"
"subj_09","free_sort",5,347,505,"take a walk"
"subj_09","free_sort",5,360,189,"reach for something"
"subj_09","free_sort",5,116,400,"experience pain"
"subj_09","free_sort",5,399,466,"kick something"
"subj_09","free_sort",5,310,470,"jump up and down"
"subj_09","free_sort",5,174,89,"remember something"
"subj_09","free_sort",5,333,130,"see something"
"subj_09","free_sort",5,82,364,"get sick"
"subj_09","free_sort",5,145,359,"feel scared"
"subj_09","free_sort",5,399,136,"hear something"
"subj_09","free_sort",5,120,91,"think about something"
"subj_10","free_sort",21,121,181,"think about something"
"subj_10","free_sort",21,52,357,"become hungry"
"subj_10","free_sort",21,428,210,"see something"
"subj_10","free_sort",21,272,276,"choose what to do"
"subj_10","free_sort",21,278,297,"reach for something"
"subj_10","free_sort",21,280,91,"get sick"
"subj_10","free_sort",21,150,191,"feel scared"
"subj_10","free_sort",21,349,141,"get tired"
"subj_10","free_sort",21,297,293,"take a walk"
"subj_10","free_sort",21,277,313,"kick something"
"subj_10","free_sort",21,36,330,"remember something"
"subj_10","free_sort",21,65,296,"hear something"
"subj_10","free_sort",21,480,311,"jump up and down"
"subj_10","free_sort",21,308,150,"sit down"
"subj_10","free_sort",21,433,413,"experience pain"
"subj_11","free_sort",5,379,282,"think about something"
"subj_11","free_sort",5,298,439,"hear something"
"subj_11","free_sort",5,253,182,"take a walk"
"subj_11","free_sort",5,308,431,"get sick"
"subj_11","free_sort",5,219,393,"see something"
"subj_11","free_sort",5,211,104,"remember something"
"subj_11","free_sort",5,448,346,"feel scared"
"subj_11","free_sort",5,138,169,"experience pain"
"subj_11","free_sort",5,426,166,"sit down"
"subj_11","free_sort",5,322,402,"choose what to do"
"subj_11","free_sort",5,337,413,"reach for something"
"subj_11","free_sort",5,134,292,"get tired"
"subj_11","free_sort",5,292,399,"jump up and down"
"subj_11","free_sort",5,174,228,"become hungry"
"subj_11","free_sort",5,374,480,"kick something"
"subj_12","free_sort",21,309,98,"choose what to do"
"subj_12","free_sort",21,453,148,"see something"
"subj_12","free_sort",21,481,373,"get sick"
"subj_12","free_sort",21,252,161,"think about something"
"subj_12","free_sort",21,147,399,"sit down"
"subj_12","free_sort",21,389,350,"experience pain"
"subj_12","free_sort",21,156,330,"take a walk"
"subj_12","free_sort",21,82,290,"jump up and down"
"subj_12","free_sort",21,215,96,"remember something"
"subj_12","free_sort",21,401,429,"become hungry"
"subj_12","free_sort",21,336,465,"feel scared"
"subj_12","free_sort",21,74,364,"kick something"
"subj_12","free_sort",21,328,405,"get tired"
"subj_12","free_sort",21,508,201,"hear something"
"subj_12","free_sort",21,148,266,"reach for something"
"subj_13","free_sort",21,149,409,"choose what to do"
"subj_13","free_sort",21,163,460,"think about something"
"subj_13","free_sort",21,327,515,"become hungry"
"subj_13","free_sort",21,132,137,"sit down"
"subj_13","free_sort",21,507,258,"reach for something"
"subj_13","free_sort",21,94,101,"get tired"
"subj_13","free_sort",21,453,424,"get sick"
"subj_13","free_sort",21,262,98,"see something"
"subj_13","free_sort",21,101,201,"take a walk"
"subj_13","free_sort",21,278,138,"hear something"
"subj_13","free_sort",21,283,171,"feel scared"
"subj_13","free_sort",21,435,93,"kick something"
"subj_13","free_sort",21,417,391,"experience pain"
"subj_13","free_sort",21,64,164,"jump up and down"
"subj_13","free_sort",21,200,438,"remember something"
"subj_14","free_sort",21,309,201,"kick something"
"subj_14","free_sort",21,398,478,"think about something"
"subj_14","free_sort",21,278,331,"reach for something"
"subj_14","free_sort",21,99,137,"get sick"
"subj_14","free_sort",21,430,447,"choose what to do"
"subj_14","free_sort",21,304,59,"experience pain"
"subj_14","free_sort",21,171,478,"take a walk"
"subj_14","free_sort",21,158,188,"get tired"
"subj_14","free_sort",21,508,194,"see something"
"subj_14","free_sort",21,445,125,"sit down"
"subj_14","free_sort",21,359,243,"jump up and down"
"subj_14","free_sort",21,9,276,"feel scared"
"subj_14","free_sort",21,384,493,"remember something"
"subj_14","free_sort",21,53,319,"hear something"
"subj_14","free_sort",21,514,324,"become hungry"
"subj_15","free_sort",21,468,128,"kick something"
"subj_15","free_sort",21,94,440,"experience pain"
"subj_15","free_sort",21,519,306,"see something"
"subj_15","free_sort",21,57,387,"get tired"
"subj_15","free_sort",21,245,61,"jump up and down"
"subj_15","free_sort",21,123,227,"choose what to do"
"subj_15","free_sort",21,316,483,"feel scared"
"subj_15","free_sort",21,210,52,"take a walk"
"subj_15","free_sort",21,82,193,"think about something"
"subj_15","free_sort",21,85,243,"remember something"
"subj_15","free_sort",21,322,300,"become hungry"
"subj_15","free_sort",21,97,415,"get sick"
"subj_15","free_sort",21,274,22,"sit down"
"subj_15","free_sort",21,468,164,"reach for something"
"subj_15","free_sort",21,521,329,"hear something"
"subj_16","free_sort",5,382,84,"see something"
"subj_16","free_sort",5,242,320,"get sick"
"subj_16","free_sort",5,462,282,"think about something"
"subj_16","free_sort",5,81,281,"sit down"
"subj_16","free_sort",5,338,56,"take a walk"
"subj_16","free_sort",5,274,308,"feel scared"
"subj_16","free_sort",5,283,98,"kick something"
"subj_16","free_sort",5,331,495,"reach for something"
"subj_16","free_sort",5,370,471,"jump up and down"
"subj_16","free_sort",5,108,231,"become hungry"
"subj_16","free_sort",5,501,303,"choose what to do"
"subj_16","free_sort",5,453,336,"remember something"
"subj_16","free_sort",5,270,353,"experience pain"
"subj_16","free_sort",5,62,255,"get tired"
"subj_16","free_sort",5,416,290,"hear something"
"subj_17","free_sort",21,287,505,"get sick"
"subj_17","free_sort",21,191,504,"feel scared"
"subj_17","free_sort",21,109,229,"become hungry"
"subj_17","free_sort",21,232,294,"sit down"
"subj_17","free_sort",21,166,316,"choose what to do"
